Latitude,PPFD,FvFm_mean,qP,qL,NPQ,phiPSII,phiNPQ,phiNO_new
32.284182,95.874,0.547045576,0.899258488,0.832813419,0.204243671,0.453008637,0.090358314,0.457381827
32.284182,166.4185,0.546423493,0.864754565,0.784321642,0.32515406,0.414726557,0.140283153,0.444166654
32.284182,236.963,0.54742339,0.802921026,0.707051053,0.470785206,0.366440196,0.197846612,0.433581608
32.284182,307.5075,0.547603229,0.728990003,0.623711407,0.601478533,0.319406445,0.248888297,0.427537543
32.284182,378.052,0.547671901,0.658974592,0.551262775,0.719933671,0.279447036,0.293429568,0.421514065
32.284182,448.5965,0.547714529,0.590474169,0.484587053,0.814406936,0.244134686,0.330124387,0.418721156
32.284182,519.141,0.547966386,0.5431121,0.443389583,0.926477782,0.217371914,0.366647039,0.407867271
32.284182,589.6855,0.548728772,0.496423297,0.400916674,0.975763074,0.197369389,0.385839483,0.407864356
32.284182,660.23,0.548729566,0.466905507,0.375169265,1.021183603,0.183590747,0.400506715,0.40529743
32.284182,730.7745,0.548329318,0.448076434,0.35809389,1.065703397,0.173881031,0.413493974,0.401437088
32.284182,871.8635,0.548709916,0.416616736,0.332855154,1.13874278,0.158977982,0.433823509,0.394452836
32.284182,1012.9525,0.548651187,0.397576895,0.316902649,1.173883012,0.149908864,0.443936553,0.391999806
32.284182,1154.0415,0.549295217,0.393242492,0.31385839,1.205454691,0.147950425,0.450036361,0.387724738
32.284182,1295.1305,0.548513314,0.391376077,0.311724702,1.220242448,0.145976183,0.452472412,0.385960168
32.284182,1436.2195,0.548497411,0.368341911,0.292228679,1.229296151,0.137207278,0.457637035,0.388064768
32.284182,95.874,0.491120442,0.814755165,0.732694625,0.183465535,0.371103035,0.093180336,0.537353569
32.284182,166.4185,0.488191842,0.790060515,0.705393606,0.24161725,0.348873783,0.119981256,0.527825033
32.284182,236.963,0.489578239,0.749915487,0.660796244,0.324793563,0.32121372,0.158032852,0.51394625
32.284182,307.5075,0.489668661,0.707161352,0.615865553,0.405014792,0.294273973,0.191539226,0.50246794
32.284182,378.052,0.489672703,0.6618223,0.570356492,0.482499935,0.267912934,0.223094339,0.492822428
32.284182,448.5965,0.492306698,0.615979907,0.524063651,0.551898159,0.245066898,0.250516013,0.485944034
32.284182,519.141,0.491191087,0.589731459,0.501538941,0.610642229,0.228902599,0.271096802,0.477521108
32.284182,589.6855,0.49227764,0.562098117,0.473941398,0.63361132,0.217411284,0.280397269,0.47793214
32.284182,660.23,0.492373387,0.541308415,0.45340288,0.652890948,0.208176367,0.287940353,0.477831845
32.284182,730.7745,0.493571671,0.513447214,0.427273289,0.680757552,0.19628153,0.298814776,0.476801921
32.284182,871.8635,0.492780591,0.491113415,0.405791758,0.697257795,0.186534245,0.305646651,0.47814068
32.284182,1012.9525,0.49327195,0.467920805,0.383792457,0.708883058,0.177403871,0.309292538,0.479899928
32.284182,1154.0415,0.494032949,0.451573964,0.36795013,0.706495244,0.171837145,0.309413517,0.483936911
32.284182,1295.1305,0.495802148,0.450031806,0.365944483,0.706594064,0.171215536,0.308482821,0.483959647
32.284182,1436.2195,0.494133217,0.418132688,0.335808206,0.6846693,0.159628661,0.305968607,0.496849153
32.284182,95.874,0.567935692,0.839412035,0.744226857,0.266047754,0.432022568,0.11389435,0.447147715
32.284182,166.4185,0.565712831,0.791315943,0.691321093,0.401199612,0.387054631,0.167539259,0.434800641
32.284182,236.963,0.563136572,0.739751064,0.638102971,0.560022781,0.342467849,0.224675513,0.419052981
32.284182,307.5075,0.563717093,0.691736214,0.589395297,0.69090691,0.308732249,0.268424671,0.406961111
32.284182,378.052,0.563000571,0.646070803,0.543273902,0.780465814,0.280686155,0.297418908,0.401663394
32.284182,448.5965,0.563783104,0.614141738,0.513306519,0.84155825,0.262969757,0.317404893,0.397864035
32.284182,519.141,0.562534858,0.577704998,0.479663821,0.905644304,0.242779358,0.339128979,0.394524835
32.284182,589.6855,0.563522825,0.5563855,0.459186388,0.930847489,0.232647929,0.347857886,0.394625808
32.284182,660.23,0.562765681,0.526027537,0.429270654,0.930279746,0.220306298,0.351743191,0.400957355
32.284182,730.7745,0.563174534,0.513422495,0.418032349,0.941549659,0.214251343,0.356769777,0.401359807
32.284182,871.8635,0.562749588,0.491576035,0.39610076,0.950602295,0.204476726,0.361564924,0.40476654
32.284182,1012.9525,0.562797922,0.480974846,0.386104775,0.944956155,0.200521923,0.361153427,0.407840031
32.284182,1154.0415,0.561817789,0.456745059,0.363356163,0.924310238,0.1906226,0.360587933,0.416705035
32.284182,1295.1305,0.561748675,0.458284382,0.364548248,0.927204403,0.191187209,0.359984354,0.415953119
32.284182,1436.2195,0.561064276,0.441959591,0.348288339,0.908814269,0.184611493,0.356663975,0.423103486
32.284182,95.874,0.500110361,0.801934846,0.716905321,0.204002176,0.369695242,0.101666948,0.516834006
32.284182,166.4185,0.498628487,0.771444367,0.682551191,0.282022105,0.342727161,0.137086014,0.503712439
32.284182,236.963,0.497923993,0.73621865,0.6454623,0.381882685,0.313426779,0.179486821,0.488511392
32.284182,307.5075,0.497461529,0.698104855,0.606838466,0.47291299,0.287019659,0.215067615,0.476310954
32.284182,378.052,0.496311179,0.650444171,0.558640699,0.542857775,0.260361369,0.244258698,0.472130577
32.284182,448.5965,0.49815545,0.606251027,0.51533726,0.604256866,0.238662007,0.269131206,0.467777368
32.284182,519.141,0.496195785,0.587566069,0.499928096,0.665143193,0.225422025,0.289282904,0.458311218
32.284182,589.6855,0.497570257,0.561337652,0.473414074,0.680069598,0.215252968,0.296854412,0.460581809
32.284182,660.23,0.495882224,0.526923619,0.441616603,0.696947747,0.200290575,0.306412577,0.464278545
32.284182,730.7745,0.494343509,0.520320846,0.435930613,0.704576935,0.196257486,0.30937237,0.464509888
32.284182,871.8635,0.495288714,0.489969097,0.405976251,0.713197941,0.185181464,0.314977686,0.469065514
32.284182,1012.9525,0.493441526,0.485174372,0.402603939,0.704383873,0.182726575,0.310919248,0.472246964
32.284182,1154.0415,0.493119189,0.461919527,0.381266606,0.720524397,0.1731663,0.318825146,0.473352832
32.284182,1295.1305,0.493746066,0.457124785,0.375585567,0.703615623,0.17207315,0.313527804,0.478688423
32.284182,1436.2195,0.49253046,0.441148138,0.359877617,0.686784558,0.166325808,0.31196462,0.486611991
30.70123,95.874,0.543436796,0.86965442,0.798994308,0.238819539,0.430981536,0.106270148,0.458900077
30.70123,166.4185,0.54325068,0.861018862,0.786433646,0.368814027,0.405323908,0.154324773,0.434695897
30.70123,236.963,0.541437709,0.795143392,0.712523055,0.626306478,0.341306424,0.243706159,0.406229786
30.70123,307.5075,0.54103218,0.737095673,0.651950051,0.860014672,0.294332551,0.311244458,0.381017873
30.70123,378.052,0.542584727,0.649216599,0.562136649,1.071744468,0.245540997,0.372143634,0.365423052
30.70123,448.5965,0.543766413,0.612013905,0.528045596,1.223867859,0.223580548,0.407282911,0.350996144
30.70123,519.141,0.543737155,0.563997892,0.483718668,1.334758442,0.201199569,0.433691806,0.34386901
30.70123,589.6855,0.543765439,0.539129896,0.461048368,1.40917943,0.188499094,0.450445888,0.338274611
30.70123,660.23,0.544604632,0.508202119,0.431519558,1.472162051,0.175905703,0.465388374,0.334811514
30.70123,730.7745,0.544476834,0.494893345,0.419228274,1.501347642,0.169947372,0.47146637,0.333230887
30.70123,871.8635,0.544837211,0.469184484,0.395676302,1.562889092,0.159299797,0.484849476,0.32955836
30.70123,1012.9525,0.543575725,0.465194993,0.394389648,1.604636453,0.155616925,0.491528587,0.325651726
30.70123,95.874,0.494376052,0.830792678,0.748410837,0.153355691,0.387170246,0.076554212,0.541741572
30.70123,166.4185,0.491683456,0.79746788,0.706921689,0.212988808,0.360225164,0.105606441,0.537106289
30.70123,236.963,0.491201905,0.727591187,0.630072177,0.297956328,0.318833717,0.147707232,0.532469391
30.70123,307.5075,0.49150431,0.673141597,0.575321873,0.380703785,0.287047742,0.184529206,0.522740835
30.70123,378.052,0.495788471,0.598442181,0.497974166,0.457440691,0.251017177,0.219750934,0.519048001
30.70123,448.5965,0.495927579,0.574787633,0.477404115,0.511111844,0.236500028,0.24010886,0.509464472
30.70123,519.141,0.496898791,0.551547265,0.455074592,0.555139934,0.223418109,0.258047248,0.50338495
30.70123,589.6855,0.496740785,0.51499806,0.420816271,0.587719012,0.20688389,0.27215484,0.503215382
30.70123,660.23,0.499907621,0.489141226,0.397042852,0.616664875,0.195909955,0.283406262,0.500539455
30.70123,730.7745,0.499446033,0.478045646,0.386834941,0.628090755,0.190595275,0.288317819,0.500035289
30.70123,871.8635,0.502515707,0.445658878,0.357198112,0.651097224,0.177802446,0.298473146,0.500748045
30.70123,1012.9525,0.500886286,0.440853601,0.353353514,0.668153135,0.173920243,0.302719561,0.497703798
39.026,95.874,0.513827729,0.762303248,0.658982525,0.171693493,0.367135135,0.08791142,0.537242852
39.026,166.4185,0.508627844,0.72383298,0.617302233,0.209458395,0.339951072,0.108720912,0.544024534
39.026,236.963,0.503967033,0.683076214,0.576662416,0.265206245,0.310468765,0.136622,0.542887451
39.026,307.5075,0.503353292,0.641978226,0.536000229,0.319468423,0.284911061,0.162669216,0.538965703
39.026,378.052,0.502656095,0.59838993,0.494242682,0.364854094,0.261434038,0.185810696,0.537968013
39.026,448.5965,0.502022163,0.577876441,0.475409717,0.392004468,0.248963683,0.198706237,0.535691212
39.026,519.141,0.500881979,0.560084907,0.458643757,0.404492451,0.239883532,0.205199948,0.5375235
39.026,589.6855,0.501078905,0.542675216,0.442121109,0.419973442,0.230061504,0.212843277,0.537289772
39.026,660.23,0.502100652,0.52163462,0.421091837,0.424744069,0.222036259,0.216660197,0.541424505
39.026,730.7745,0.500801192,0.5083494,0.410025992,0.424098698,0.215872571,0.217664877,0.545794438
39.026,871.8635,0.501868796,0.484005696,0.385976795,0.437163026,0.204439573,0.225025298,0.548658127
39.026,1012.9525,0.501595751,0.469760892,0.372343973,0.433351676,0.198586979,0.225570239,0.553033785
39.026,1154.0415,0.502089376,0.456148654,0.358878772,0.42479036,0.193322393,0.223501148,0.560152168
39.026,1295.1305,0.501611333,0.439349028,0.342504829,0.422176942,0.186023078,0.223216679,0.566329343
39.026,1436.2195,0.503927881,0.425636815,0.330117589,0.409771743,0.182038582,0.219943975,0.573886675
39.026,95.874,0.554377215,0.759647839,0.640821028,0.185023559,0.395165828,0.090274726,0.501072745
39.026,166.4185,0.551734322,0.729086821,0.611334198,0.224829687,0.371732934,0.109877672,0.50376207
39.026,236.963,0.547517357,0.694457588,0.575565541,0.271473224,0.345484859,0.132300154,0.505681039
39.026,307.5075,0.546270687,0.676305959,0.558334945,0.310668459,0.330673183,0.15036657,0.502049716
39.026,378.052,0.543442652,0.640292924,0.523085883,0.352126154,0.307014911,0.170740106,0.504041807
39.026,448.5965,0.544353651,0.623610041,0.50770469,0.379488757,0.296351745,0.183453057,0.501521462
39.026,519.141,0.542916124,0.621044491,0.508146561,0.406947348,0.291225861,0.194060006,0.494767896
39.026,589.6855,0.543030647,0.595024726,0.482421803,0.43272734,0.276378223,0.206835555,0.495867341
39.026,660.23,0.543403499,0.581193368,0.469187391,0.444296894,0.26853878,0.212381725,0.497163061
39.026,730.7745,0.543218907,0.561041416,0.449774693,0.4534953,0.258151078,0.218887579,0.500292735
39.026,871.8635,0.543682354,0.532802488,0.423679261,0.483321233,0.243326884,0.232581,0.500445716
39.026,1012.9525,0.541827264,0.521572542,0.413897551,0.497788594,0.23591611,0.238494852,0.50024799
39.026,1154.0415,0.540721176,0.510020496,0.402140097,0.497667707,0.229306072,0.24002968,0.504235716
39.026,1295.1305,0.541814651,0.496131577,0.39136729,0.506511166,0.22312883,0.245131709,0.505402069
39.026,1436.2195,0.541898829,0.48405025,0.378699075,0.490938384,0.218978099,0.240966165,0.513295675
39.026,95.874,0.501500442,0.842456452,0.759436004,0.136839548,0.400915901,0.068821586,0.534308719
39.026,166.4185,0.501107577,0.792461733,0.697921,0.216641789,0.365201377,0.10629421,0.524184077
39.026,236.963,0.497851008,0.715603055,0.616330784,0.363428423,0.310040791,0.170302065,0.509136331
39.026,307.5075,0.496624948,0.644186318,0.546407336,0.505366085,0.265251195,0.226735991,0.491298173
39.026,378.052,0.498903806,0.600432359,0.506280959,0.617302262,0.239426865,0.26557813,0.473076329
