pop,lat,PPFD,FvFmprime,qP,qL,qN,NPQ,phiPSII,phiNPQ,phiNO,JETR,JNPQ,JNO,Jtot,phiNO_new,FvFmprime_mean,FvFm_mean
CB,32.284182,95.874,0.50238634,0.899258488,0.832813419,0.299203619,0.204243671,0.453008637,0.090358314,0.45663305,40.48951595,8.076147114,40.81346282,89.37912589,0.457381827,0.50238634,0.547045576
CB,32.284182,166.4185,0.478491637,0.864754565,0.784321642,0.435611128,0.32515406,0.414726557,0.140283153,0.44499029,64.34261463,21.76418341,69.03787149,155.1446695,0.444166654,0.478491637,0.546423493
CB,32.284182,236.963,0.454565858,0.802921026,0.707051053,0.566408539,0.470785206,0.366440196,0.197846612,0.435713191,80.95038185,43.70633725,96.25349395,220.910213,0.433581608,0.454565858,0.54742339
CB,32.284182,307.5075,0.434824025,0.728990003,0.623711407,0.662278759,0.601478533,0.319406445,0.248888297,0.431705257,91.56608441,71.35024095,123.7594314,286.6757567,0.427537543,0.434824025,0.547603229
CB,32.284182,378.052,0.418494085,0.658974592,0.551262775,0.737263349,0.719933671,0.279447036,0.293429568,0.427123396,98.48867685,103.4166986,150.5359253,352.4413007,0.421514065,0.418494085,0.547671901
CB,32.284182,448.5965,0.406086167,0.590474169,0.484587053,0.790516921,0.814406936,0.244134686,0.330124387,0.425740927,102.0987967,138.0602782,178.0477696,418.2068445,0.418721156,0.406086167,0.547714529
CB,32.284182,519.141,0.392375827,0.5431121,0.443389583,0.848195965,0.926477782,0.217371914,0.366647039,0.415981047,105.2020043,177.4470431,201.3233408,483.9723882,0.407867271,0.392375827,0.547966386
CB,32.284182,589.6855,0.387510611,0.496423297,0.400916674,0.868979643,0.975763074,0.197369389,0.385839483,0.416791128,108.5014397,212.1105994,229.1258928,549.7379319,0.407864356,0.387510611,0.548728772
CB,32.284182,660.23,0.382655241,0.466905507,0.375169265,0.886791568,1.021183603,0.183590747,0.400506715,0.415902538,113.0007429,246.5132751,255.9894577,615.5034757,0.40529743,0.382655241,0.548729566
CB,32.284182,730.7745,0.377413759,0.448076434,0.35809389,0.906535712,1.065703397,0.173881031,0.413493974,0.412624996,118.4597595,281.7006342,281.1086264,681.2690201,0.401437088,0.377413759,0.548329318
CB,32.284182,871.8635,0.370249809,0.416616736,0.332855154,0.932692337,1.13874278,0.158977982,0.433823509,0.407198509,129.2173208,352.6117945,330.9709916,812.8001069,0.394452836,0.370249809,0.548709916
CB,32.284182,1012.9525,0.366854441,0.397576895,0.316902649,0.944871177,1.173883012,0.149908864,0.443936553,0.406154582,141.5636166,419.2231353,383.5444415,944.3311934,0.391999806,0.366854441,0.548651187
CB,32.284182,1154.0415,0.364533587,0.393242492,0.31385839,0.9541088,1.205454691,0.147950425,0.450036361,0.402013215,159.1742818,484.1771462,432.5108548,1075.862283,0.387724738,0.364533587,0.549295217
CB,32.284182,1295.1305,0.362562021,0.391376077,0.311724702,0.958819725,1.220242448,0.145976183,0.452472412,0.401551405,176.2506754,546.31219,484.8305038,1207.393369,0.385960168,0.362562021,0.548513314
CB,32.284182,1436.2195,0.361822314,0.368341911,0.292228679,0.960969119,1.229296151,0.137207278,0.457637035,0.405155687,183.7101802,612.7414185,542.4728581,1338.924457,0.388064768,0.361822314,0.548497411
CB,32.284182,95.874,0.451489945,0.814755165,0.732694625,0.295961531,0.183465535,0.371103035,0.093180336,0.535716629,33.16886485,8.328376973,47.88188398,89.3791258,0.537353569,0.451489945,0.491120442
CB,32.284182,166.4185,0.437331398,0.790060515,0.705393606,0.372493903,0.24161725,0.348873783,0.119981256,0.531144962,54.12590777,18.61445231,82.4043096,155.1446697,0.527825033,0.437331398,0.488191842
CB,32.284182,236.963,0.423411424,0.749915487,0.660796244,0.472832047,0.324793563,0.32121372,0.158032852,0.520753428,70.95939139,34.91107104,115.0397508,220.9102133,0.51394625,0.423411424,0.489578239
CB,32.284182,307.5075,0.410261235,0.707161352,0.615865553,0.549521491,0.405014792,0.294273973,0.191539226,0.514186801,84.36121398,54.90965261,147.4048904,286.675757,0.50246794,0.410261235,0.489668661
