,ID,slope,adj.r.squared,f,p,explained deviance,r.squared,EDF,AIC,p.gam
value,FvFm,0.001564509,0.033401358,2.27855574,0.139901726,0.513140682,0.452795166,4.080344246,-124.6866566,0.00010077
value,qP,0.001053511,0.01624848,1.611123597,0.212478793,0.349947508,0.300837445,2.598926865,-133.7298799,0.001283938
value,qL,1.13E-05,-0.027771508,0.000219596,0.988258578,1.67E-07,-1.39E-06,5.77E-05,-132.5301502,0.89933397
value,qN,-0.008546346,0.258165838,13.87637656,0.000666799,0.547877383,0.509928525,2.865108086,-59.24156077,3.35E-06
value,NPQ,-0.0146897,0.119008829,5.998150761,0.019319993,0.463662944,0.410468961,3.338547485,14.7698042,0.000163552
value,phiPSII,0.002030246,0.216492662,11.22355259,0.001906144,0.661887077,0.622264469,3.881118812,-171.7144623,2.77E-07
value,phiNPQ,-0.003710248,0.158549148,7.971670985,0.00769415,0.451201314,0.402344639,3.024647797,-98.64348473,0.000143471
value,phiNO,0.001680002,0.017699586,1.666684717,0.204932257,0.45430278,0.390301558,3.883961426,-103.9241594,0.000542085
value,JETR,1.333448995,0.202290951,10.38282597,0.002700342,0.67398549,0.638928306,3.592405134,321.3885646,0
value,JNPQ,-2.605145748,0.167437817,8.441124945,0.00623696,0.475072576,0.420839016,3.464739115,396.8829999,0.000436426
value,JNO,1.010421785,0.009138203,1.341231759,0.254442481,0.444816741,0.380437352,3.844707898,390.9203647,0.000690658
value,Jtot,-0.261274967,0.140832272,7.064932269,0.011651021,0.996032532,0.994941461,7.980490646,49.6732845,0
